observation_date,MEXSLRTTO01IXOBM
2005-04-01,81.05676
2005-05-01,84.09081
2005-06-01,80.67845
2005-07-01,83.10720
2005-08-01,84.83230
2005-09-01,82.72133
2005-10-01,85.33167
2005-11-01,86.37580
2005-12-01,110.37580
2006-01-01,86.80335
2006-02-01,79.22146
2006-03-01,83.66592
2006-04-01,80.76167
2006-05-01,86.48474
2006-06-01,84.07986
2006-07-01,85.39468
2006-08-01,87.33501
2006-09-01,83.72874
2006-10-01,86.80075
2006-11-01,88.57127
2006-12-01,111.78500
2007-01-01,88.80835
2007-02-01,80.72604
2007-03-01,86.04133
2007-04-01,81.31326
2007-05-01,88.12157
2007-06-01,87.13518
2007-07-01,88.96313
2007-08-01,90.57767
2007-09-01,86.12714
2007-10-01,90.37068
2007-11-01,91.54312
2007-12-01,113.06370
2008-01-01,93.19305
2008-02-01,86.57500
2008-03-01,87.84232
2008-04-01,89.20201
2008-05-01,91.41398
2008-06-01,90.23936
2008-07-01,92.18748
2008-08-01,91.63455
2008-09-01,86.04747
2008-10-01,90.30919
2008-11-01,91.55734
2008-12-01,114.48150
2009-01-01,89.80926
2009-02-01,80.85414
2009-03-01,87.92783
2009-04-01,83.59019
2009-05-01,86.55703
2009-06-01,86.27700
2009-07-01,88.35534
2009-08-01,88.39747
2009-09-01,83.27242
2009-10-01,87.60783
2009-11-01,89.89968
2009-12-01,113.34730
2010-01-01,87.02245
2010-02-01,79.57615
2010-03-01,86.49670
2010-04-01,83.11820
2010-05-01,87.94896
2010-06-01,86.48281
2010-07-01,88.85503
2010-08-01,89.86817
2010-09-01,84.24813
2010-10-01,88.62090
2010-11-01,89.36145
2010-12-01,113.77280
2011-01-01,89.47153
2011-02-01,79.16808
2011-03-01,86.40680
2011-04-01,84.46356
2011-05-01,88.93930
2011-06-01,87.88136
2011-07-01,88.67618
2011-08-01,90.29321
2011-09-01,86.18967
2011-10-01,90.45492
2011-11-01,94.41736
2011-12-01,117.47260
2012-01-01,91.43962
2012-02-01,86.37357
2012-03-01,91.36806
2012-04-01,87.27856
2012-05-01,93.21066
2012-06-01,91.98032
2012-07-01,92.35397
2012-08-01,94.85944
2012-09-01,89.79504
2012-10-01,94.95763
2012-11-01,99.61664
2012-12-01,115.07670
2013-01-01,93.62119
2013-02-01,85.05770
2013-03-01,89.95357
2013-04-01,89.57005
2013-05-01,94.07893
2013-06-01,92.08935
2013-07-01,95.26906
2013-08-01,94.28973
2013-09-01,88.33274
2013-10-01,93.54585
2013-11-01,99.33150
2013-12-01,116.00610
2014-01-01,91.83717
2014-02-01,84.56673
2014-03-01,90.86143
2014-04-01,89.25061
2014-05-01,94.48645
2014-06-01,93.08378
2014-07-01,95.87605
2014-08-01,96.18714
2014-09-01,89.83511
2014-10-01,95.74065
2014-11-01,101.85860
2014-12-01,119.43710
2015-01-01,96.74599
2015-02-01,88.33271
2015-03-01,95.58461
2015-04-01,92.44006
2015-05-01,97.95590
2015-06-01,98.30872
2015-07-01,101.18250
2015-08-01,101.46950
2015-09-01,95.28056
2015-10-01,100.90250
2015-11-01,106.33070
2015-12-01,125.46630
2016-01-01,100.88850
2016-02-01,94.50768
2016-03-01,98.63963
2016-04-01,98.72334
2016-05-01,102.63690
2016-06-01,103.80130
2016-07-01,104.97070
2016-08-01,106.27300
2016-09-01,100.58250
2016-10-01,107.19280
2016-11-01,113.49580
2016-12-01,132.04490
2017-01-01,103.59070
2017-02-01,94.49345
2017-03-01,102.00180
2017-04-01,98.07937
2017-05-01,104.43440
2017-06-01,103.50520
2017-07-01,104.96420
2017-08-01,104.90870
2017-09-01,98.75779
2017-10-01,104.72790
2017-11-01,111.47550
2017-12-01,129.38900
2018-01-01,103.44770
2018-02-01,94.35014
2018-03-01,102.85020
2018-04-01,100.61790
2018-05-01,106.27520
2018-06-01,105.87080
2018-07-01,107.11900
2018-08-01,106.86440
2018-09-01,101.49530
2018-10-01,107.43410
2018-11-01,115.63540
2018-12-01,128.53170
2019-01-01,105.61510
2019-02-01,97.30319
2019-03-01,105.06170
2019-04-01,102.17090
2019-05-01,109.22600
2019-06-01,106.94240
2019-07-01,109.36370
2019-08-01,109.51230
2019-09-01,103.95800
2019-10-01,107.79550
2019-11-01,118.27120
2019-12-01,132.39250
2020-01-01,106.95120
2020-02-01,99.16144
2020-03-01,102.94320
2020-04-01,77.59441
2020-05-01,83.41308
2020-06-01,89.58729
2020-07-01,96.04704
2020-08-01,98.11021
2020-09-01,96.79832
2020-10-01,100.17620
2020-11-01,112.25920
2020-12-01,124.89350
2021-01-01,98.92701
2021-02-01,92.97958
2021-03-01,105.73290
2021-04-01,101.28320
2021-05-01,108.08280
2021-06-01,104.89640
2021-07-01,105.50370
2021-08-01,105.22010
2021-09-01,102.47750
2021-10-01,105.72950
2021-11-01,118.44820
2021-12-01,131.34940
2022-01-01,105.48050
2022-02-01,98.81523
2022-03-01,109.61880
2022-04-01,105.92550
2022-05-01,113.61700
2022-06-01,109.08390
2022-07-01,110.78720
2022-08-01,110.17650
2022-09-01,105.83430
2022-10-01,109.74020
2022-11-01,121.26400
2022-12-01,134.69550
2023-01-01,111.06820
2023-02-01,102.12690
2023-03-01,112.40160
